Iteration,Param1,Param2,Drag,Sideforce,Lift,Stdev Drag,Stdev Sideforce,Stdev Lift,Time
84,-0.894017,-0.025287,478.74422,-17.137663,-374.737339,10.855214,9.491822,60.051943,178850.8944
85,-0.716605,-0.497196,475.919559,-14.89128,-374.595355,11.290295,12.244087,59.306893,180765.9353
86,-0.227081,-0.564841,471.019033,-6.269457,-318.920822,10.081066,7.794425,61.384979,182865.7235
87,0.12876,-0.808957,480.528771,15.723533,-327.015008,7.589203,13.512291,64.677711,185193.2461
88,0.80204,-0.407073,481.236567,29.731377,-341.894706,9.84664,16.49348,60.665068,187858.477
89,0.138496,0.119299,481.482224,-3.192597,-339.089527,10.186438,14.804083,59.354314,190132.6441
90,-0.99839,0.336853,486.924353,-10.369133,-341.325706,9.317203,8.528925,54.190626,193080.8736
91,0.561935,-0.9961,471.137165,6.245083,-355.553996,11.596499,5.295786,63.528108,195503.0763
92,-0.027989,-0.857758,478.945147,-2.521343,-344.910894,9.190608,10.115497,59.844562,198175.2579
93,-0.354432,0.340038,482.841469,31.595565,-321.672178,10.014965,19.511654,73.882046,200570.8219
94,-0.756897,-0.756829,477.839386,23.112538,-353.679741,11.402004,12.909678,70.019805,202786.8723
95,0.526639,0.985623,483.912478,49.569144,-301.320914,8.347591,11.189253,60.761764,205080.5654
96,0.370445,-0.427449,478.985106,27.877393,-342.048141,10.534032,8.886301,72.396634,207068.2675
97,0.396737,-0.024569,478.106769,25.970505,-321.613825,11.203413,10.667527,78.895996,208932.9782
98,0.492835,0.051914,485.266345,-12.113217,-323.495722,7.3631,21.877565,61.110744,210882.7973
99,-0.952143,0.782864,491.516157,21.123532,-356.328843,8.317614,15.578587,55.624573,212845.1015
100,-0.71367,0.406296,478.115445,-3.292857,-341.828582,10.698127,17.485331,63.650199,214727.0463
101,0.363045,0.83293,486.514122,-7.719727,-325.231049,10.364281,10.212904,74.832408,216586.5831
102,-0.570388,-0.958687,476.042643,-16.426664,-325.15849,11.760369,9.26667,66.959649,218522.7911
103,0.553659,-0.182716,482.47359,-20.936653,-323.882131,8.790687,9.838919,60.407653,220399.2081
104,-0.92158,-0.800854,476.539302,18.68861,-338.380698,9.327948,8.192442,57.650533,222334.2917
105,-0.644818,0.303448,480.826243,7.504347,-377.71522,9.527151,8.912945,62.956978,224191.6169
106,-0.248292,-0.657074,473.284512,11.738217,-355.486363,9.018821,26.637729,81.076832,226031.4869
107,0.215572,0.517177,485.487039,1.364972,-324.992173,11.168888,5.929511,80.408856,227907.227
108,-0.364556,-0.236256,477.947586,0.705596,-337.767312,6.800132,15.498791,65.317819,229771.3296
109,-0.110652,0.365704,477.078049,-6.459404,-327.001224,10.394889,13.617127,68.883127,231644.7258
110,-0.782211,0.247912,482.333518,-13.550033,-326.452218,6.41109,12.050082,84.254272,233547.0617
111,0.566772,-0.5086,486.830047,3.535096,-347.133361,7.692362,16.707208,67.880398,235428.2162
112,-0.129614,0.727741,487.971622,-31.307073,-348.407725,10.739919,12.427954,64.037438,237360.6422
113,0.447196,0.901533,489.658545,2.032748,-341.411369,6.82614,16.047792,71.955467,239232.8432
114,0.210443,0.587396,490.024957,15.156457,-362.978271,7.47099,10.1394,57.830083,241670.8758
115,-0.681687,0.258869,484.458276,-11.458561,-369.039071,9.795013,12.408326,68.871921,244146.8807
116,-0.167397,-0.654801,478.711812,15.45049,-352.203606,10.034508,18.394424,68.231979,246273.368
117,-0.632036,-0.998796,472.733765,25.00883,-338.826473,8.19305,11.945603,66.938227,248967.7377
118,0.172779,-0.543432,471.092696,-27.790639,-318.198129,10.294322,18.181134,78.848343,251148.0159
119,-0.064376,-0.005518,475.017057,-16.432225,-339.313908,9.29057,18.625718,63.964262,253260.6123
120,0.598848,0.294462,480.924722,17.954772,-324.356022,11.275519,8.913901,75.34972,255327.1303
121,0.183819,0.796635,484.327398,12.457082,-332.090065,10.013843,22.850326,77.223388,257453.2801
122,-0.899024,0.309045,481.635622,-4.568116,-362.391653,9.419174,11.03159,60.501721,259664.842
123,-0.286799,-0.616042,484.419627,-29.607132,-373.147814,9.37674,16.960389,67.266706,261711.6232
124,-0.67611,0.914623,483.743216,-26.507381,-344.955208,10.756098,19.119112,74.766444,264049.1751
125,-0.431603,0.637267,481.220771,-10.487323,-327.253351,10.767456,13.90843,81.995909,266120.8309
126,0.627576,0.894897,495.087296,-2.454598,-338.856992,9.042836,11.603162,58.908269,268190.6769
127,-0.428163,-0.83754,479.212751,-5.678942,-348.289896,7.821575,10.023778,62.434368,270226.6897
128,0.291043,0.65029,493.159202,2.944885,-364.087031,8.657171,22.963699,56.611376,272209.6693
129,-0.717626,0.427439,481.696482,-30.390568,-337.666863,10.127242,8.111157,62.810006,274228.2949
130,0.379815,-0.730371,479.665741,21.71435,-333.833702,11.371279,11.840117,72.932746,277321.3328
131,0.456747,0.041307,485.393729,0.75584,-334.398124,9.095074,7.629068,67.406287,279741.7768
132,0.720693,0.334441,484.68159,57.645019,-436.484001,70.412904,74.540568,516.618529,282007.5844
133,-0.600106,0.109595,485.834851,17.539079,-329.421318,10.34865,15.761706,72.121212,284233.7932
134,0.198475,0.985089,493.413143,-15.514231,-353.231204,10.261391,14.388138,82.984123,286398.1389
135,0.560907,-0.330867,480.065953,6.413906,-308.141312,7.069405,12.647574,54.328735,288566.6639
136,-0.46867,0.474751,484.124157,14.14663,-335.361188,8.806266,12.004818,70.339058,290751.3781
137,-0.128691,-0.25106,475.946129,-2.762709,-367.011788,13.024759,12.285171,70.55975,292882.8842
138,0.759443,0.186657,478.78061,-7.674497,-350.224624,11.656444,22.274419,74.045871,294865.1806
139,-0.25118,0.280657,480.159518,28.700934,-330.686945,10.892256,15.041944,74.872541,296848.3869
140,0.72299,0.266869,482.786314,-15.231111,-353.216092,9.814308,27.06746,69.595454,298845.0234
141,0.531112,-0.999821,477.839512,21.092762,-340.379653,12.285717,6.135803,72.26137,300810.9133
142,0.95813,0.994045,502.185941,15.138342,-326.340361,10.461239,16.321708,75.792008,302796.6199
143,-0.818859,0.584105,481.670275,-16.144963,-355.304488,9.887915,17.543558,65.699711,304862.6323
144,0.644057,0.976669,491.662618,21.387334,-355.110616,12.007163,12.859274,71.500299,306861.5831
145,0.963954,0.59662,486.422576,18.742301,-307.722418,7.299963,16.725545,70.597755,308851.9218
146,0.449576,0.330405,480.146108,16.797499,-321.017622,9.646757,23.618382,79.020657,310868.6465
147,-0.406416,0.170993,507.372273,-0.113836,-354.264176,9.198072,19.441504,68.414249,312582.3541
148,0.215763,0.293027,501.282775,-4.810998,-334.868073,9.18003,22.424485,69.064185,314205.3199
149,0.608327,-0.264409,478.137594,21.077719,-337.53172,8.542016,12.523012,71.545181,316215.2217
150,-0.47014,0.816885,486.942524,19.627876,-329.431088,10.87619,20.276179,68.404785,318228.7566
151,-0.293644,-0.749851,476.99768,-21.274456,-333.589706,8.381654,16.492617,75.817711,320216.1633
152,0.871009,0.527933,482.3098,9.840193,-310.919437,9.222427,11.799979,61.768759,322233.3098
153,0.722442,-0.410425,481.323676,-23.894951,-329.219139,7.584082,19.082902,68.949962,324671.837
154,-0.469201,-0.850836,475.332735,1.409113,-341.36299,9.454925,18.540618,65.016415,327829.7837
155,-0.882797,-0.909852,480.107576,9.947346,-373.722518,10.364361,15.891334,66.567371,331098.4173
156,0.664884,0.89126,491.428676,3.839392,-373.537429,11.986299,6.654859,69.421062,333887.4184
157,0.474127,0.494974,491.712133,-12.428979,-353.034231,10.30101,11.728035,74.078527,336858.0448
158,0.604846,0.946851,491.999204,29.180119,-326.000671,8.382113,16.81065,63.297394,339134.2869
159,-0.022182,-0.479155,474.275143,-6.958671,-344.569388,9.809716,10.73223,60.56743,341726.262
160,-0.79453,-0.806857,481.079569,-0.108948,-359.234337,11.601845,11.331111,85.073207,343765.9764
161,0.036011,0.546735,488.736978,-24.102186,-329.34341,11.273114,13.868254,80.587965,345738.9289
162,-0.001291,0.778957,489.969547,-11.647299,-335.566249,10.028031,21.144381,65.328785,347723.9568
163,0.669903,0.744127,496.54841,-2.0169,-344.045641,10.148845,8.684442,72.032556,349773.9541
164,-0.265265,0.697726,485.693367,-6.472273,-357.081916,11.591838,5.531628,68.462608,351765.7949
165,0.05447,0.635092,490.662394,-14.537562,-376.499061,13.098055,13.759993,70.981351,353764.8782
166,0.889705,-0.111508,489.906337,-14.948446,-351.213751,12.413657,19.302893,81.320455,355760.2448
167,-0.256329,-0.955228,473.77252,21.914466,-334.884018,7.832522,7.14097,60.871126,357739.2346
168,-0.405954,-0.145645,479.406845,9.04856,-331.370984,11.55087,12.977102,84.041735,359724.3483
169,-0.26755,-0.200031,479.676704,-7.928176,-314.233612,8.594103,19.612727,72.716161,362343.5797
170,-0.846418,-0.478843,482.173035,-26.654325,-362.683349,11.829167,10.217548,65.352322,365368.8784
171,0.386212,-0.25354,485.232116,21.002844,-318.478476,11.170145,7.184353,72.537343,367603.6508
172,-0.379992,-0.084565,480.647933,-8.045864,-351.759751,9.140621,26.182092,67.484359,369776.6883
173,-0.965398,-0.80395,476.702178,-3.802928,-353.763261,7.001021,15.062015,57.644262,372054.4988
174,-0.972861,-0.387717,477.875673,19.640447,-325.595886,9.735019,9.13701,61.583044,374460.9244
175,0.700176,0.35613,480.537953,30.666413,-342.224747,7.330658,22.308965,69.971034,376526.6635
176,-0.379313,0.722147,476.668924,-17.529838,-339.065094,22.151831,20.766858,178.866879,378447.5336
177,-0.746999,-0.055951,479.296186,-32.635453,-328.36752,9.032962,11.975527,51.275271,380489.6212
178,-0.576755,0.419228,482.486639,-4.389442,-342.698186,9.637023,21.747586,77.987419,382673.7577
179,0.495738,-0.627689,480.719367,10.693744,-377.460257,11.73497,12.989451,72.373293,384570.2827
180,-0.366489,0.145197,475.085765,9.87826,-365.35132,9.919706,14.975535,73.294985,386590.6546
181,-0.327107,-0.968369,478.003375,5.602968,-355.97088,8.947874,11.776916,56.397181,388929.6563
182,0.384923,-0.111341,482.541965,7.207117,-326.799108,8.144657,12.591998,57.16149,391193.9821
183,-0.690584,0.997484,488.554994,-11.300213,-370.39172,11.204786,12.54694,70.556785,393518.5449
184,-0.761596,0.651422,488.011153,18.273515,-364.715747,8.097735,20.034811,69.228509,395863.8417
185,0.049651,0.959241,492.740961,0.924647,-352.194396,10.990166,22.706806,83.432238,398121.7423
186,0.113603,0.117385,476.482943,-13.375354,-330.455414,9.484303,10.72632,62.986797,400342.4097
187,0.977072,0.317228,486.032008,7.141425,-325.723351,9.8748,6.883204,82.98903,402608.812
188,0.599946,-0.259962,483.049518,-7.968198,-336.324775,8.051811,19.142086,58.627849,404681.0271
189,-0.888773,0.604205,480.647818,9.01518,-317.588731,9.798914,13.336889,80.519423,406676.1571
190,0.751003,0.00373,481.079016,-10.098345,-336.333157,10.234794,28.125511,80.269716,408630.4731
191,0.520957,-0.075385,483.161476,6.719288,-344.601339,9.22157,16.28164,79.505167,410525.3259
192,-0.038165,-0.814456,474.340171,-14.482816,-333.795578,10.235509,18.732,80.264589,412437.395
193,-0.678111,-0.201323,479.955784,-18.078038,-333.394208,10.624151,9.962535,76.941037,414330.1792
194,0.250304,-0.678,480.108565,-29.470734,-353.051398,6.404573,13.305528,62.373807,416267.291
195,0.689091,0.241343,477.418294,-31.292773,-356.8585,9.45911,15.646634,62.306558,418163.3789
196,0.075615,0.112938,471.454267,-14.049941,-329.223567,10.291909,6.243683,78.00529,420045.7106
197,0.377646,-0.706658,477.354063,-8.213071,-322.094182,11.323776,14.691438,81.623551,421974.6446
198,0.184932,0.622625,474.564971,26.915079,-322.998388,7.11329,8.577444,75.888671,423787.9745
199,-0.963346,-0.823276,477.648755,11.18727,-348.542608,11.616805,15.96859,75.889959,425737.3533
200,-0.400062,0.568488,484.410953,-4.622086,-335.2718,13.283432,10.202558,81.993849,427631.9901
201,-0.280625,0.390624,484.492733,16.662474,-321.742565,10.681432,10.183511,84.861942,429541.0064
202,0.700031,0.316269,492.760404,4.22974,-329.293829,8.832166,13.466557,71.302746,431432.8539
203,-0.60028,0.977409,487.027976,25.154886,-325.910835,9.847978,8.459845,71.054752,433307.5268
204,0.118806,-0.843706,467.57712,-24.744013,-347.102365,9.837027,12.268638,61.150065,435193.5919
205,-0.388247,0.833565,483.997331,-20.36373,-358.811331,10.098279,10.683483,69.267781,437100.8915
206,0.210396,0.743853,483.448659,20.230573,-329.374661,11.833292,11.088926,78.907658,438996.1402
207,-0.206956,-0.622977,478.950102,-4.856663,-360.208553,11.115627,13.734462,70.625783,440963.3124
208,-0.293689,0.457498,505.174888,-5.674644,-340.061371,8.317733,20.301935,63.63143,442830.4302
209,-0.402374,-0.887576,473.905416,-25.857298,-351.662284,12.611436,15.013413,71.055893,445026.3131
210,0.536647,0.8084,490.958367,7.402758,-317.86581,11.678921,12.47689,81.642138,447058.5977
